5
25
Id, Age, Math, Science, Malay
String, number, number, number, number
11920100, 19, 93, 92, 87
11920111, 20, 76, 87, 75
1221302345, 19, 20, 02, 20
1452415,19,6,58,72
1928480,22,12,2,100
1995369,24,44,40,20
1556087,18,63,9,67
1744447,22,86,18,49
1540504,18,65,85,45
1789547,20,66,70,19
1215188,23,43,41,99
1704174,19,26,91,60
1751753,19,15,63,5
1717397,19,30,98,12
1735869,19,29,53,69
1379259,25,24,3,64
1736534,21,5,57,74
1500122,22,1,92,91
1554038,22,82,31,72
1567849,20,79,25,70
1395170,18,25,28,34
1588119,23,47,68,65
1006510,18,40,4,98
1840086,19,36,71,87
1508623,24,4,18,93
