5
25
Id, Age, Programming, English, Calculus
String, number, number, number, number
1415669,23,56,87,67
1046217,25,90,56,59
1692373,23,24,89,48
1430578,24,4,80,7
1941745,21,83,32,18
1750074,25,35,84,100
1624433,21,55,93,83
1840210,21,29,54,84
1780820,25,89,56,95
1507865,19,70,71,29
1818632,21,52,27,63
1699227,18,13,88,60
1649894,22,13,41,51
1227578,25,53,17,65
1013976,24,1,37,31
1358457,25,73,3,90
1277356,18,57,88,51
1130816,19,8,72,16
1842026,18,76,93,17
1689210,20,64,96,34
1283060,22,77,17,57
1584064,18,25,34,73
1879086,18,36,26,52
1960358,22,2,98,97
1936216,21,5,17,7
