5
25
Id, Age, Biology, Accounting, Business
String, number, number, number, number
1995003,22,14,58,45
1879450,19,35,52,14
1440362,23,26,41,2
1672566,19,40,53,46
1153757,18,11,59,46
1508160,18,81,2,6
1805446,24,17,89,47
1040099,18,41,26,38
1326556,19,39,86,85
1056692,20,66,100,37
1068154,21,84,94,45
1921853,21,11,65,8
1118828,18,80,48,67
1436334,24,86,83,38
1495669,23,6,5,39
1651977,19,7,87,33
1640522,24,39,65,54
1079539,20,99,19,32
1825620,22,86,95,32
1054452,18,10,5,92
1580980,23,47,65,25
1865400,19,32,32,47
1613443,24,53,71,16
1122848,21,65,53,2
1413028,25,81,52,29
