5
25
Id, Age, Economics, French, History
String, number, number, number, number
1193356,25,62,82,94
1141613,22,56,47,5
1254253,25,48,71,49
1373017,21,27,88,24
1593001,21,61,98,74
1172081,19,92,23,95
1253948,25,4,23,75
1829367,20,70,62,99
1209333,19,9,55,40
1610822,22,96,49,17
1222908,20,5,58,70
1897606,18,25,29,32
1318943,25,23,9,85
1967997,24,23,13,39
1771176,23,57,68,26
1126362,21,35,80,28
1737806,25,55,68,44
1906486,21,85,46,95
1577548,18,22,96,11
1405211,22,11,99,87
1443195,22,12,33,52
1356080,19,38,63,6
1206271,19,61,2,4
1735224,24,68,100,24
1981606,21,86,12,18
